name,latitude,longitude,address,phone,website
Ahwatukee,33.3218984,-111.9811417,"4734 E Ray Rd, Phoenix, AZ 85044-6225",480-893-9333,https://www.target.com/sl/phoenix/909
Arcadia Crossing,33.47888,-111.98431,"4515 E Thomas Rd, Phoenix, AZ 85018-7614",602-952-1797,https://www.target.com/sl/phoenix/950
Phoenix I17 and SR101,33.6711241,-112.1218108,"2727 W Agua Fria Fwy, Phoenix, AZ 85027-3929",623-869-8070,https://www.target.com/sl/phoenix/1141
Phoenix NE,33.675998,-111.97187,"21001 N Tatum Blvd Ste 20, Phoenix, AZ 85050-4207",480-419-9380,https://www.target.com/sl/phoenix/1360
South Mountain,33.3793622,-112.0347245,"2140 E Baseline Rd, Phoenix, AZ 85042-6910",602-281-1119,https://www.target.com/sl/phoenix/1905
Phoenix 7th Street and Bell,33.6381086,-112.0688753,"16806 N 7th St, Phoenix, AZ 85022-2662",602-794-3601,https://www.target.com/sl/phoenix/2236
Phoenix Spectrum,33.5201908,-112.0987995,"5715 N 19th Ave, Phoenix, AZ 85015-2433",602-308-3604,https://www.target.com/sl/phoenix/2354
Phoenix Uptown Camelback,33.5074123,-112.0463329,"1625 E Camelback Rd, Phoenix, AZ 85016-3901",602-603-7581,https://www.target.com/sl/phoenix/3261
Scottsdale Talking Stick Way,33.5405787,-111.8870972,"9000 E Talking Stick Way, Scottsdale, AZ 85250-8502",480-951-4403,https://www.target.com/sl/scottsdale/363
Frank Lloyd Wright Blvd,33.6265712,-111.8887178,"15444 N Frank Lloyd Wright Blvd, Scottsdale, AZ 85260-2845",480-860-2800,https://www.target.com/sl/scottsdale/936
Scottsdale Road,33.7795988,-111.9225469,"32351 N Scottsdale Rd, Scottsdale, AZ 85266-1513",480-575-7043,https://www.target.com/sl/scottsdale/1327
Tempe,33.3796402,-111.9079077,"1818 E Baseline Rd, Tempe, AZ 85283-1502",480-831-9162,https://www.target.com/sl/tempe/319
Tempe Rio Salado,33.430081,-111.9049733,"1800 E Rio Salado Pkwy, Tempe, AZ 85281-2266",480-214-2667,https://www.target.com/sl/tempe/2176
Marana,32.3356016,-111.048835,"3901 W Ina Rd, Tucson, AZ 85741-2206",520-744-3553,https://www.target.com/sl/tucson/854
Tucson NE,32.2486285,-110.8528705,"6500 E Grant Rd, Tucson, AZ 85715-3801",520-290-1711,https://www.target.com/sl/tucson/855
Tucson SW,32.1608318,-110.9900677,"1225 W Irvington Rd, Tucson, AZ 85714-1167",520-295-1277,https://www.target.com/sl/tucson/1316
Tucson El Con Mall,32.2230108,-110.9150848,"3699 E Broadway Blvd, Tucson, AZ 85716-5400",520-917-0116,https://www.target.com/sl/tucson/1439
Tucson SE,32.2075329,-110.7861886,"9615 E Old Spanish Trl, Tucson, AZ 85748-7540",520-296-4290,https://www.target.com/sl/tucson/1863
Tucson North,32.2801901,-110.9761839,"4040 N Oracle Rd, Tucson, AZ 85705-2720",520-202-1501,https://www.target.com/sl/tucson/2140
Bryant,34.6040376,-92.5301614,"7377 Alcoa Rd, Bryant, AR 72022-6204",501-776-4360,https://www.target.com/sl/bryant/2204
Conway,35.0862607,-92.4145413,"501 Elsinger Blvd, Conway, AR 72032-4717",501-328-5739,https://www.target.com/sl/conway/1891
Fayetteville,36.1162807,-94.15585519999999,"3545 N Shiloh Dr, Fayetteville, AR 72703-5359",479-443-5517,https://www.target.com/sl/fayetteville/1470
Fort Smith,35.3414469,-94.3875127,"4001 Phoenix Ave, Fort Smith, AR 72903-6099",479-709-8940,https://www.target.com/sl/fort-smith/2284
Jonesboro,35.823099,-90.6645571,"3000 E Highland Dr, Jonesboro, AR 72401-6321",870-934-9661,https://www.target.com/sl/jonesboro/1919
Little Rock North,34.7880996,-92.2290477,"4000 McCain Blvd, North Little Rock, AR 72116-8039",501-771-4220,https://www.target.com/sl/little-rock-north/162
Rogers,36.2993587,-94.1727497,"2404 Promenade Blvd, Rogers, AR 72758-9080",479-986-1100,https://www.target.com/sl/rogers/2498
Little Rock West,34.7559297,-92.4148501,"12700 Chenal Pkwy, Little Rock, AR 72211-3360",501-217-0200,https://www.target.com/sl/little-rock/1114
Little Rock Univer,34.7493548,-92.34481559999999,"420 S University Ave, Little Rock, AR 72205-5246",501-801-3412,https://www.target.com/sl/little-rock/2737
Albany,37.8833619,-122.3077842,"1057 Eastshore Hwy, Albany, CA 94710-1011",510-982-0512,https://www.target.com/sl/albany/1926
Alhambra,34.0913719,-118.1472857,"2120 W Main St, Alhambra, CA 91801-1856",626-308-3290,https://www.target.com/sl/alhambra/184
Aliso Viejo,33.57118579999999,-117.7048057,"26932 La Paz Rd, Aliso Viejo, CA 92656-3038",949-643-0337,https://www.target.com/sl/aliso-viejo/259
Anaheim Hills,33.8656986,-117.7471468,"8148 E Santa Ana Canyon Rd, Anaheim, CA 92808-1105",714-921-9091,https://www.target.com/sl/anaheim-hills/677
Antioch Slatten Ranch,37.9645497,-121.737713,"5769 Lone Tree Way, Antioch, CA 94531-8587",925-752-0002,https://www.target.com/sl/antioch-slatten-ranch/1819
Apple Valley,34.4705034,-117.2435468,"19201 Bear Valley Rd, Apple Valley, CA 92308-6763",760-247-4111,https://www.target.com/sl/apple-valley/939
Auburn,38.9430384,-121.0953101,"2700 Bell Rd, Auburn, CA 95603-2508",530-889-5650,https://www.target.com/sl/auburn/1097
Baldwin Park,34.0692425,-117.9767022,"3100 Baldwin Park Blvd, Baldwin Park, CA 91706-4703",626-851-9404,https://www.target.com/sl/baldwin-park/1033
Buena Park,33.8570267,-118.0015911,"7530 Orangethorpe Ave, Buena Park, CA 90621-3429",714-676-0013,https://www.target.com/sl/buena-park/2082
Burbank,34.1890295,-118.3306705,"1800 W Empire Ave, Burbank, CA 91504-3403",818-238-0132,https://www.target.com/sl/burbank/1362
Camarillo,34.2166044,-119.0727202,"209 W Ventura Blvd, Camarillo, CA 93010-8359",805-384-0040,https://www.target.com/sl/camarillo/1027
Los Angeles Topanga,34.1928867,-118.6029579,"6700 Topanga Canyon Blvd, Canoga Park, CA 91303-2624",818-746-9922,https://www.target.com/sl/los-angeles-topanga/2143
Carson North,33.8421187,-118.2605881,"20700 S Avalon Blvd, Carson, CA 90746-3701",310-819-3011,https://www.target.com/sl/carson-north/2026
Palm Springs,33.7898367,-116.4807209,"67750 E Palm Canyon Dr, Cathedral City, CA 92234-5441",760-321-7425,https://www.target.com/sl/palm-springs/307
Chico,39.7260303,-121.8026986,"1951 E 20th St, Chico, CA 95928-6300",530-343-3770,https://www.target.com/sl/chico/317
Birdcage Citrus Heights,38.6725516,-121.2746178,"5837 Sunrise Blvd, Citrus Heights, CA 95610-6866",916-966-5267,https://www.target.com/sl/birdcage-citrus-heights/1121
Colma,37.6738414,-122.4642387,"5001 Junipero Serra Blvd, Colma, CA 94014-3217",650-992-8433,https://www.target.com/sl/colma/320
Commerce,34.0178383,-118.1508511,"5600 Whittier Blvd, Commerce, CA 90022-4106",323-725-1121,https://www.target.com/sl/commerce/189
Corona,33.826779,-117.5163785,"2615 Tuscany St, Corona, CA 92881-4631",951-277-3075,https://www.target.com/sl/corona/1548
Costa Mesa,33.6826076,-117.917211,"3030 Harbor Blvd Ste A, Costa Mesa, CA 92626-2562",714-979-0372,https://www.target.com/sl/costa-mesa/1293
Culver City Jefferson,33.9992941,-118.3934894,"10820 Jefferson Blvd, Culver City, CA 90230-4935",310-839-5200,https://www.target.com/sl/culver-city-jefferson/198
Cupertino De Anza Blvd,37.32461139999999,-122.0359767,"20745 Stevens Creek Blvd, Cupertino, CA 95014-2123",408-725-2651,https://www.target.com/sl/cupertino-de-anza-blvd/323
Cypress,33.8043271,-118.0133024,"6835 Katella Ave, Cypress, CA 90630-5107",714-220-2000,https://www.target.com/sl/cypress/229
Daly City Serramonte,37.67058,-122.4709608,"133 Serramonte Ctr, Daly City, CA 94015-2349",650-755-2393,https://www.target.com/sl/daly-city-serramonte/1407
Diamond Bar,34.004442,-117.8210683,"747 Grand Ave, Diamond Bar, CA 91765-8400",909-610-2149,https://www.target.com/sl/diamond-bar/2179
Duarte,34.1375846,-117.9833287,"1050 Huntington Dr, Duarte, CA 91010-2475",626-303-8858,https://www.target.com/sl/duarte/302
Dublin,37.70674229999999,-121.931845,"7200 Amador Plaza Rd, Dublin, CA 94568-2320",925-829-8900,https://www.target.com/sl/dublin/328
El Centro,32.8137492,-115.5671832,"2295 N Imperial Ave, El Centro, CA 92243-1335",760-482-5400,https://www.target.com/sl/el-centro/1816
Elk Grove,38.4268025,-121.4157958,"7505 Laguna Blvd, Elk Grove, CA 95758-5061",916-683-5356,https://www.target.com/sl/elk-grove/1025
Encinitas,33.06775,-117.26256,"1010 N El Camino Real, Encinitas, CA 92024-1320",760-633-1406,https://www.target.com/sl/encinitas/1029
Escondido,33.1137151,-117.0994498,"1280 Auto Park Way, Escondido, CA 92029-2231",760-489-6119,https://www.target.com/sl/escondido/274
Eureka,40.8057272,-124.1440966,"2525 4th St, Eureka, CA 95501-0823",707-442-0201,https://www.target.com/sl/eureka/1421
Fairfield,38.2465116,-122.0690503,"2059 Cadenasso Dr, Fairfield, CA 94533-6806",707-426-1105,https://www.target.com/sl/fairfield/675
Folsom,38.6718623,-121.1526034,"430 Blue Ravine Rd, Folsom, CA 95630-3402",916-984-9131,https://www.target.com/sl/folsom/1098
Foothill Ranch,33.6762025,-117.6645687,"26762 Portola Pkwy, Foothill Ranch, CA 92610-1712",949-454-2360,https://www.target.com/sl/foothill-ranch/913
Fremont Hub,37.54500060000001,-121.9851315,"39201 Fremont Blvd, Fremont, CA 94538-1301",510-795-6305,https://www.target.com/sl/fremont-hub/1422
Gardena,33.8864234,-118.3156559,"2169 W Redondo Beach Blvd, Gardena, CA 90247-3625",310-327-0762,https://www.target.com/sl/gardena/290
Gilroy,36.9999009,-121.5546616,"6705 Camino Arroyo, Gilroy, CA 95020-7075",408-848-6466,https://www.target.com/sl/gilroy/1851
Hanford,36.3238487,-119.676534,"140 N 12th Ave, Hanford, CA 93230-5971",559-582-9298,https://www.target.com/sl/hanford/1906
Hemet,33.7454368,-117.0089716,"3527 W Florida Ave, Hemet, CA 92545-3564",951-652-9585,https://www.target.com/sl/hemet/761
Hollister,36.8350241,-121.3893603,"1790 Airline Hwy, Hollister, CA 95023-5621",831-636-3722,https://www.target.com/sl/hollister/941
Huntington Beach East,33.6709728,-117.9562028,"9882 Adams Ave, Huntington Beach, CA 92646-4808",714-849-1814,https://www.target.com/sl/huntington-beach-east/2051
Inglewood,33.94831240000001,-118.3335923,"3471 W Century Blvd, Inglewood, CA 90301-1218",310-677-2436,https://www.target.com/sl/inglewood/1329
Grossmont,32.7779979,-117.0113848,"5500 Grossmont Ctr Dr, La Mesa, CA 91942-3015",619-461-1960,https://www.target.com/sl/grossmont/997
La Quinta,33.7085992,-116.29044,"78935 Hwy 111, La Quinta, CA 92253-2072",760-564-0492,https://www.target.com/sl/la-quinta/1867
Laverne,34.1096272,-117.759877,"2462 Foothill Blvd, La Verne, CA 91750-3056",909-593-2421,https://www.target.com/sl/laverne/226
Lake Elsinore,33.6889564,-117.3427338,"18287 Collier Ave, Lake Elsinore, CA 92530-2755",951-674-2620,https://www.target.com/sl/lake-elsinore/2195
Lakewood Center Mall,33.8507608,-118.1400994,"141 Lakewood Center Mall, Lakewood, CA 90712-2419",562-894-0019,https://www.target.com/sl/lakewood-center-mall/1409
Lancaster,34.673266,-118.1496783,"43525 10th St W, Lancaster, CA 93534-6091",661-949-8584,https://www.target.com/sl/lancaster/245
Lincoln,38.8699549,-121.3042972,"950 Groveland Ln, Lincoln, CA 95648-8041",916-251-3002,https://www.target.com/sl/lincoln/2214
Livermore,37.7012898,-121.7467955,"4300 Las Positas Rd, Livermore, CA 94551-9641",925-606-1445,https://www.target.com/sl/livermore/828
Lodi,38.11750079999999,-121.3035821,"2355 W Kettleman Ln, Lodi, CA 95242-4120",209-369-9371,https://www.target.com/sl/lodi/853
Long Beach Bellflower,33.7978736,-118.1226002,"2270 N Bellflower Blvd, Long Beach, CA 90815-2017",562-493-5411,https://www.target.com/sl/long-beach-bellflower/195
Manhattan Beach,33.8889349,-118.3942198,"1200 N Sepulveda Blvd, Manhattan Beach, CA 90266-5104",310-546-5601,https://www.target.com/sl/manhattan-beach/199
Manteca,37.7944428,-121.196629,"280 Spreckels Ave, Manteca, CA 95336-6005",209-823-9982,https://www.target.com/sl/manteca/1526
Merced,37.3229242,-120.4849041,"3280 R St, Merced, CA 95348-1954",209-725-3482,https://www.target.com/sl/merced/641
Eastvale,33.9783777,-117.5541707,"12471 Limonite Ave, Mira Loma, CA 91752-2457",951-256-5261,https://www.target.com/sl/eastvale/1961
Montclair,34.0903668,-117.6907833,"9052 Central Ave, Montclair, CA 91763-1621",909-624-5717,https://www.target.com/sl/montclair/1423
Moorpark,34.2782751,-118.8671988,"800 New Los Angeles Ave, Moorpark, CA 93021-3585",805-530-0028,https://www.target.com/sl/moorpark/1547
Mountain View,37.4007282,-122.1062005,"555 Showers Dr, Mountain View, CA 94040-1432",650-965-7764,https://www.target.com/sl/mountain-view/322
Murrieta,33.5658978,-117.2031201,"41040 California Oaks Rd, Murrieta, CA 92562-5749",951-696-7527,https://www.target.com/sl/murrieta/1283
Natl Cty Pl Bonita,32.6538029,-117.065617,"3060 Plaza Bonita Rd, National City, CA 91950-8004",619-791-2749,https://www.target.com/sl/natl-cty-pl-bonita/2232
Norco,33.9011217,-117.5648098,"1290 Hamner Ave, Norco, CA 92860-3117",951-371-1872,https://www.target.com/sl/norco/736
North Hollywood,34.188561,-118.3713961,"11051 Victory Blvd, North Hollywood, CA 91606-3719",818-761-3083,https://www.target.com/sl/north-hollywood/294
Novato,38.0899033,-122.5526527,"200 Vintage Way, Novato, CA 94945-5005",415-892-3313,https://www.target.com/sl/novato/692
Oceanside,33.1842313,-117.330246,"2255 S El Camino Real, Oceanside, CA 92054-6318",760-967-8335,https://www.target.com/sl/oceanside/303
Ontario,34.0753407,-117.5615081,"4200 E 4th St, Ontario, CA 91764-5250",909-579-3040,https://www.target.com/sl/ontario/2245
Orange,33.8249571,-117.8346229,"2191 N Tustin St, Orange, CA 92865-3701",714-974-2800,https://www.target.com/sl/orange/230
Pacoima,34.245313,-118.4194137,"9725 Laurel Canyon Blvd, Pacoima, CA 91331-4100",818-896-8214,https://www.target.com/sl/pacoima/183
Palm Desert,33.7237242,-116.4033433,"72549 Highway 111, Palm Desert, CA 92260-3306",760-341-9307,https://www.target.com/sl/palm-desert/940
Palmdale,34.5998265,-118.1464629,"39440 10th St W, Palmdale, CA 93551-3747",661-265-0906,https://www.target.com/sl/palmdale/685
Paso Robles,35.584298,-120.6987499,"2305 Theatre Dr, Paso Robles, CA 93446-9604",805-227-0105,https://www.target.com/sl/paso-robles/1120
Pico Rivera,34.0006745,-118.0868458,"8800 Whittier Blvd, Pico Rivera, CA 90660-2658",562-949-6200,https://www.target.com/sl/pico-rivera/1425
Pinole,37.9875748,-122.3091572,"1400 Fitzgerald Dr, Pinole, CA 94564-2250",510-222-0558,https://www.target.com/sl/pinole/737
Pittsburg,38.0081826,-121.8400705,"4301 Century Blvd, Pittsburg, CA 94565-7101",925-778-8950,https://www.target.com/sl/pittsburg/332
Pleasant Hill,37.9772731,-122.0672323,"560 Contra Costa Blvd, Pleasant Hill, CA 94523-1216",925-685-6069,https://www.target.com/sl/pleasant-hill/330
Poway,32.9805714,-117.0601003,"14823 Pomerado Rd, Poway, CA 92064-2803",858-679-8202,https://www.target.com/sl/poway/296
Rancho Cucamonga,34.108867,-117.5743478,"10576 Foothill Blvd, Rancho Cucamonga, CA 91730-3890",909-948-9952,https://www.target.com/sl/rancho-cucamonga/301
Rancho Santa Margarita,33.6415678,-117.5981909,"30602 Santa Margarita Pkwy, Rancho Santa Margarita, CA 92688-2814",949-459-1543,https://www.target.com/sl/rancho-santa-margarita/914
Redding,40.5863326,-122.3481622,"1280 Dana Dr, Redding, CA 96003-4038",530-223-0123,https://www.target.com/sl/redding/615
Redlands,34.0720407,-117.2075883,"27320 W Lugonia Ave, Redlands, CA 92374-2041",909-307-1602,https://www.target.com/sl/redlands/1869
Redondo Beach,33.8688958,-118.3577001,"1601 Kingsdale Ave, Redondo Beach, CA 90278-3928",310-750-0003,https://www.target.com/sl/redondo-beach/1980
Redwood City,37.4755693,-122.2170808,"2485 El Camino Real, Redwood City, CA 94063-2849",650-363-8940,https://www.target.com/sl/redwood-city/321
Richmond,37.9322835,-122.3275806,"4500 Macdonald Ave, Richmond, CA 94805-2307",510-253-1000,https://www.target.com/sl/richmond/1507
Riverbank,37.7137916,-120.9526744,"2425 Claribel Rd, Riverbank, CA 95367-9456",209-863-1270,https://www.target.com/sl/riverbank/2096
Rohnert Park,38.3461728,-122.7204316,"475 Rohnert Park Expy W, Rohnert Park, CA 94928-7907",707-586-2901,https://www.target.com/sl/rohnert-park/852
Rosemead,34.0739945,-118.0703835,"3600 Rosemead Blvd, Rosemead, CA 91770-2066",626-280-8024,https://www.target.com/sl/rosemead/1411
Puente Hills,33.9921289,-117.9185109,"17751 Colima Rd, Rowland Heights, CA 91748-1714",626-913-2880,https://www.target.com/sl/puente-hills/222
Salinas,36.7145492,-121.6523734,"1640 N Main St, Salinas, CA 93906-5102",831-442-0547,https://www.target.com/sl/salinas/676
Orange Show,34.0781491,-117.2920432,"499 W Orange Show Rd, San Bernardino, CA 92408-2029",909-381-3391,https://www.target.com/sl/orange-show/188
Tanforan,37.6365781,-122.4189903,"1150 El Camino Real, San Bruno, CA 94066-2420",650-827-0171,https://www.target.com/sl/tanforan/1054
San Dimas,34.1040129,-117.8237025,"888 W Arrow Hwy, San Dimas, CA 91773-2495",909-394-0335,https://www.target.com/sl/san-dimas/767
San Leandro Bayfair,37.7006793,-122.1255972,"15555 E 14th St, San Leandro, CA 94578-1978",510-276-2699,https://www.target.com/sl/san-leandro-bayfair/1428
San Mateo Fashion Island,37.558541,-122.2832881,"2220 Bridgepointe Pkwy, San Mateo, CA 94404-1569",650-341-0734,https://www.target.com/sl/san-mateo-fashion-island/1122
San Ramon,37.7621464,-121.9641968,"2610 Bishop Dr, San Ramon, CA 94583-2338",925-277-0202,https://www.target.com/sl/san-ramon/949
Sand City,36.6211304,-121.8430953,"2040 California Ave, Sand City, CA 93955-3150",831-392-1990,https://www.target.com/sl/sand-city/1062
Santa Clarita East,34.3946306,-118.4646801,"19105 Golden Valley Rd, Santa Clarita, CA 91387-1428",661-977-5154,https://www.target.com/sl/santa-clarita-east/2030
Santa Fe Springs,33.9376677,-118.0482727,"10621 Carmenita Rd, Santa Fe Springs, CA 90670-4017",562-946-0851,https://www.target.com/sl/santa-fe-springs/227
Santa Maria,34.9229579,-120.4337826,"223 E Betteravia Rd, Santa Maria, CA 93454-7803",805-922-9904,https://www.target.com/sl/santa-maria/309
Santa Rosa South,38.417287,-122.7087842,"1980 Santa Rosa Ave, Santa Rosa, CA 95407-7621",707-575-0665,https://www.target.com/sl/santa-rosa-south/937
Santee,32.8423516,-116.9824828,"9846 Mission Gorge Rd, Santee, CA 92071-3834",619-449-9790,https://www.target.com/sl/santee/1485
Seal Beach,33.7829443,-118.0694689,"12300 Seal Beach Blvd, Seal Beach, CA 90740-2709",562-596-9887,https://www.target.com/sl/seal-beach/1328
Simi Valley Cochran Street,34.280517,-118.7396607,"2907 Cochran St, Simi Valley, CA 93065-2773",805-583-8933,https://www.target.com/sl/simi-valley-cochran-street/246
South Gate,33.9480794,-118.1684027,"5700 Firestone Blvd, South Gate, CA 90280-3704",562-806-2911,https://www.target.com/sl/south-gate/190
Rancho California,33.50683960000001,-117.1461456,"29676 Rancho California Rd, Temecula, CA 92591-5283",951-676-2668,https://www.target.com/sl/rancho-california/359
Thousand Oaks,34.1909139,-118.934123,"2705 Teller Rd, Thousand Oaks, CA 91320-1190",805-480-9114,https://www.target.com/sl/thousand-oaks/1100
Torrance,33.8270091,-118.3456469,"3433 Sepulveda Blvd, Torrance, CA 90505-2606",310-214-1561,https://www.target.com/sl/torrance/200
